team_id,team_name,obp
109,Arizona Diamondbacks,0.286
133,Athletics,0.299
144,Atlanta Braves,0.341
110,Baltimore Orioles,0.335
111,Boston Red Sox,0.317
112,Chicago Cubs,0.321
145,Chicago White Sox,0.278
113,Cincinnati Reds,0.298
114,Cleveland Guardians,0.311
115,Colorado Rockies,0.299
116,Detroit Tigers,0.326
117,Houston Astros,0.369
118,Kansas City Royals,0.311
108,Los Angeles Angels,0.323
119,Los Angeles Dodgers,0.369
146,Miami Marlins,0.325
158,Milwaukee Brewers,0.339
142,Minnesota Twins,0.328
121,New York Mets,0.305
147,New York Yankees,0.308
143,Philadelphia Phillies,0.307
134,Pittsburgh Pirates,0.328
135,San Diego Padres,0.308
137,San Francisco Giants,0.288
136,Seattle Mariners,0.312
138,St. Louis Cardinals,0.320
139,Tampa Bay Rays,0.328
140,Texas Rangers,0.300
141,Toronto Blue Jays,0.318
120,Washington Nationals,0.343
