game_pk,team,opponent,obp,opponent_obp,matchup,odds,results
823966,Los Angeles Dodgers,Texas Rangers,0.372,0.286,0.0860,favorite,L
823154,Houston Astros,Seattle Mariners,0.377,0.302,0.0750,not favorite,L
824859,Baltimore Orioles,San Francisco Giants,0.330,0.291,0.0390,favorite,W
824126,Kansas City Royals,Chicago White Sox,0.311,0.273,0.0380,favorite,L
823479,Philadelphia Phillies,Arizona Diamondbacks,0.305,0.285,0.0200,favorite,L
824533,Los Angeles Angels,Cincinnati Reds,0.315,0.296,0.0190,favorite,W
822828,Minnesota Twins,Toronto Blue Jays,0.329,0.312,0.0170,not favorite,W
822998,Tampa Bay Rays,New York Yankees,0.327,0.311,0.0160,not favorite,W
824938,Atlanta Braves,Cleveland Guardians,0.328,0.313,0.0150,favorite,W
824696,Pittsburgh Pirates,Chicago Cubs,0.329,0.315,0.0140,not favorite,L
823075,St. Louis Cardinals,Boston Red Sox,0.324,0.311,0.0130,not favorite,L
823317,Colorado Rockies,San Diego Padres,0.307,0.296,0.0110,not favorite,L
824293,Miami Marlins,Detroit Tigers,0.329,0.321,0.0080,not favorite,L
823642,New York Mets,Athletics,0.313,0.306,0.0070,favorite,L
823804,Washington Nationals,Milwaukee Brewers,0.344,0.342,0.0020,not favorite,W
823804,Milwaukee Brewers,Washington Nationals,0.342,0.344,-0.0020,favorite,L
823642,Athletics,New York Mets,0.306,0.313,-0.0070,not favorite,W
824293,Detroit Tigers,Miami Marlins,0.321,0.329,-0.0080,favorite,W
823317,San Diego Padres,Colorado Rockies,0.296,0.307,-0.0110,favorite,W
823075,Boston Red Sox,St. Louis Cardinals,0.311,0.324,-0.0130,favorite,W
824696,Chicago Cubs,Pittsburgh Pirates,0.315,0.329,-0.0140,favorite,W
824938,Cleveland Guardians,Atlanta Braves,0.313,0.328,-0.0150,not favorite,L
822998,New York Yankees,Tampa Bay Rays,0.311,0.327,-0.0160,favorite,L
822828,Toronto Blue Jays,Minnesota Twins,0.312,0.329,-0.0170,favorite,L
824533,Cincinnati Reds,Los Angeles Angels,0.296,0.315,-0.0190,not favorite,L
823479,Arizona Diamondbacks,Philadelphia Phillies,0.285,0.305,-0.0200,not favorite,W
824126,Chicago White Sox,Kansas City Royals,0.273,0.311,-0.0380,not favorite,W
824859,San Francisco Giants,Baltimore Orioles,0.291,0.330,-0.0390,not favorite,L
823154,Seattle Mariners,Houston Astros,0.302,0.377,-0.0750,favorite,W
823966,Texas Rangers,Los Angeles Dodgers,0.286,0.372,-0.0860,not favorite,W
